time	232Th	228Ra	228Ac	228Th	224Ra	220Rn	216Po	212Pb	212Bi	212Po	208Tl	208Pb	
1.31e+06	1	2.04279e-12	2.44373e-16	4.85329e-15	1.33566e-17	2.34815e-21	6.15328e-24	1.63246e-18	1.43663e-19	8.73234e-30	3.07683e-21	7.57255e-18	
1.32e+06	1	2.05835e-12	2.46281e-16	4.9294e-15	1.36224e-17	2.39489e-21	6.27534e-24	1.66491e-18	1.46611e-19	8.90217e-30	3.1361e-21	7.80663e-18	
1.33e+06	1	2.0739e-12	2.48189e-16	5.0061e-15	1.38911e-17	2.44214e-21	6.39873e-24	1.69771e-18	1.49592e-19	9.07377e-30	3.19599e-21	8.04581e-18	
1.34e+06	1	2.08946e-12	2.50097e-16	5.08339e-15	1.41628e-17	2.4899e-21	6.52347e-24	1.73087e-18	1.52607e-19	9.24717e-30	3.2565e-21	8.29017e-18	
1.35e+06	1	2.10501e-12	2.52004e-16	5.16127e-15	1.44373e-17	2.53818e-21	6.64954e-24	1.76438e-18	1.55655e-19	9.42236e-30	3.31762e-21	8.53976e-18	
1.36e+06	1	2.12056e-12	2.53912e-16	5.23973e-15	1.47148e-17	2.58697e-21	6.77696e-24	1.79824e-18	1.58736e-19	9.59933e-30	3.37936e-21	8.79466e-18	
1.37e+06	1	2.13611e-12	2.5582e-16	5.31879e-15	1.49952e-17	2.63627e-21	6.90572e-24	1.83246e-18	1.61851e-19	9.7781e-30	3.44171e-21	9.05491e-18	
1.38e+06	1	2.15166e-12	2.57727e-16	5.39843e-15	1.52785e-17	2.6861e-21	7.03583e-24	1.86704e-18	1.65e-19	9.95866e-30	3.50468e-21	9.32058e-18	
1.39e+06	1	2.16721e-12	2.59635e-16	5.47866e-15	1.55648e-17	2.73644e-21	7.16729e-24	1.90198e-18	1.68182e-19	1.0141e-29	3.56827e-21	9.59175e-18	
1.4e+06	1	2.18276e-12	2.61542e-16	5.55947e-15	1.5854e-17	2.78729e-21	7.30009e-24	1.93727e-18	1.71398e-19	1.03252e-29	3.63248e-21	9.86846e-18	
1.41e+06	1	2.19831e-12	2.6345e-16	5.64088e-15	1.61462e-17	2.83867e-21	7.43424e-24	1.97292e-18	1.74648e-19	1.05111e-29	3.69731e-21	1.01508e-17	
1.42e+06	1	2.21386e-12	2.65357e-16	5.72287e-15	1.64413e-17	2.89056e-21	7.56974e-24	2.00892e-18	1.77931e-19	1.06989e-29	3.76276e-21	1.04388e-17	
1.43e+06	1	2.22941e-12	2.67264e-16	5.80545e-15	1.67393e-17	2.94297e-21	7.7066e-24	2.04529e-18	1.81249e-19	1.08884e-29	3.82883e-21	1.07326e-17	
1.44e+06	1	2.24495e-12	2.69171e-16	5.88862e-15	1.70404e-17	2.9959e-21	7.84481e-24	2.08201e-18	1.846e-19	1.10798e-29	3.89551e-21	1.10321e-17	
1.45e+06	1	2.2605e-12	2.71078e-16	5.97237e-15	1.73443e-17	3.04935e-21	7.98437e-24	2.11909e-18	1.87985e-19	1.12729e-29	3.96282e-21	1.13375e-17	
